county_number,county,record_kind,water_name,water_type,access_point_name,access_status,access_category,latitude,longitude,camping,restroom,boat_ramp,dock,ada_fishing,foot_access_only,day_use_only,pack_in_pack_out,private_land_nearby,public_access_verification,water_name_match_status,access_details,directions_url,official_source_name,official_source_url,source_record_id,source_water_id,source_site_id,last_generated
1,Ada,access_point,Boise River,river,Eagle Hatchery,Active,Fishing,43.6765916,-116.4034504,False,,False,False,False,True,True,True,True,active_official_IDFG_managed_or_co_managed_access_site,parsed_from_official_notes,Provides access to the Boise River. Much of the surrounding area is private property; please obey all signs and markers. Access is limited to foot traffic only. Day use only. Please pack out what you pack in.,"https://www.google.com/maps/search/?api=1&query=43.6765916,-116.4034504",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,105,,105,2026-07-26T02:39:14Z
1,Ada,access_point,Indian Creek Reservoir,reservoir,Indian Creek Reservoir,Active,Boating,43.3859464,-116.0099611,False,True,True,False,False,False,True,True,False,active_official_IDFG_managed_or_co_managed_access_site,derived_from_access_site_name,Gravel boat ramp available. Area roads may become very slick when wet or snow covered. Day use only.Please pack out what you pack in.,"https://www.google.com/maps/search/?api=1&query=43.3859464,-116.0099611",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,115,,115,2026-07-26T02:39:14Z
2,Adams,access_point,C Ben Ross Reservoir_demo,unknown,C Ben Ross Reservoir_demo,Active,Boating,44.5216662,-116.4487916,False,False,True,True,False,False,True,True,True,active_official_IDFG_managed_or_co_managed_access_site,derived_from_access_site_name,Much of the surrounding area is private property; please obey all signs and markers. Day use only. Please pack out what you pack in.,"https://www.google.com/maps/search/?api=1&query=44.5216662,-116.4487916",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,80,,80,2026-07-26T02:39:14Z
2,Adams,access_point,Fall Creek,creek,Fall Creek,Active,Fishing,45.2232929,-116.3209096,False,False,False,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,derived_from_access_site_name,,"https://www.google.com/maps/search/?api=1&query=45.2232929,-116.3209096",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,75,,75,2026-07-26T02:39:14Z
2,Adams,access_point,Hazzard Creek,creek,Hazzard Creek,Active,Fishing,45.1806353,-116.3011142,True,,False,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,derived_from_access_site_name,"Use permit required at site for 15 or more people in group, Fish & Game 208-799-5010.","https://www.google.com/maps/search/?api=1&query=45.1806353,-116.3011142",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,63,,63,2026-07-26T02:39:14Z
2,Adams,access_point,Trail Creek,creek,Trail Creek,Active,Fishing,45.1859136,-116.3022943,True,,False,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,derived_from_access_site_name,Camping limited along highway 95.,"https://www.google.com/maps/search/?api=1&query=45.1859136,-116.3022943",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,62,,62,2026-07-26T02:39:14Z
3,Bannock,access_point,,unknown,Edson Fichter Nature Area,Active,Fishing,42.8216241,-112.4032908,False,,False,True,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,not_identified,,"https://www.google.com/maps/search/?api=1&query=42.8216241,-112.4032908",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,171,,171,2026-07-26T02:39:14Z
3,Bannock,access_point,,unknown,Portneuf - Lower,Active,Fishing,42.6420171,-112.0037925,True,True,False,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,not_identified,,"https://www.google.com/maps/search/?api=1&query=42.6420171,-112.0037925",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,170,,170,2026-07-26T02:39:14Z
3,Bannock,access_point,,unknown,Portneuf - Upper,Active,Fishing,42.7094977,-112.0136652,False,False,False,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,not_identified,,"https://www.google.com/maps/search/?api=1&query=42.7094977,-112.0136652",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,169,,169,2026-07-26T02:39:14Z
3,Bannock,access_point,,unknown,Topaz Landing,Active,Fishing,42.6220231,-112.0749866,False,False,False,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,not_identified,,"https://www.google.com/maps/search/?api=1&query=42.6220231,-112.0749866",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,355,,352,2026-07-26T02:39:14Z
3,Bannock,access_point,Crane Creek,creek,Crane Creek,Active,Fishing,42.7242067,-112.2078141,False,False,False,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,derived_from_access_site_name,,"https://www.google.com/maps/search/?api=1&query=42.7242067,-112.2078141",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,172,,172,2026-07-26T02:39:14Z
3,Bannock,access_point,Hawkins Reservoir,reservoir,Hawkins Reservoir,Active,Boating,42.5119136,-112.3314958,True,True,True,True,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,derived_from_access_site_name,,"https://www.google.com/maps/search/?api=1&query=42.5119136,-112.3314958",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,198,,198,2026-07-26T02:39:14Z
4,Bear Lake,access_point,,unknown,Montpelier WMA,Active,Fishing,42.3257901,-111.2432038,False,False,False,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,not_identified,,"https://www.google.com/maps/search/?api=1&query=42.3257901,-111.2432038",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,177,,177,2026-07-26T02:39:14Z
5,Benewah,access_point,Round Lake - O'Gara Bay Road,lake,Round Lake - O'Gara Bay Road,Active,Boating,47.3750622,-116.7368964,False,,True,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,derived_from_access_site_name,,"https://www.google.com/maps/search/?api=1&query=47.3750622,-116.7368964",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,33,,33,2026-07-26T02:39:14Z
5,Benewah,access_point,St Maries River / Spicer Pond,pond,St Maries River / Spicer Pond,Active,Boating,47.3072766,-116.5416705,True,,True,True,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,derived_from_access_site_name,This is a shared acces site with Spicer Pond. Spicer pond has no boat ramp or dock.,"https://www.google.com/maps/search/?api=1&query=47.3072766,-116.5416705",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,34,,34,2026-07-26T02:39:14Z
6,Bingham,access_point,,unknown,Cherry Plant,Active,Boating,43.1868345,-112.3953326,False,False,True,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,not_identified,,"https://www.google.com/maps/search/?api=1&query=43.1868345,-112.3953326",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,185,,185,2026-07-26T02:39:14Z
6,Bingham,access_point,,unknown,Ferry Butte,Active,Boating,43.1275563,-112.5152153,False,True,True,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,not_identified,,"https://www.google.com/maps/search/?api=1&query=43.1275563,-112.5152153",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,163,,163,2026-07-26T02:39:14Z
6,Bingham,access_point,,unknown,Firth Bridge,Active,Boating,43.3116214,-112.182591,False,,True,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,not_identified,,"https://www.google.com/maps/search/?api=1&query=43.3116214,-112.182591",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,190,,190,2026-07-26T02:39:14Z
6,Bingham,access_point,,unknown,Firth City Park,Active,Boating,43.3082334,-112.2002236,False,False,False,False,False,False,False,False,False,active_official_IDFG_managed_or_co_managed_access_site,not_identified,,"https://www.google.com/maps/search/?api=1&query=43.3082334,-112.2002236",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,191,,191,2026-07-26T02:39:14Z
6,Bingham,access_point,,unknown,Gem State,Active,Fishing,43.4214294,-112.1025315,False,True,False,False,False,True,True,True,False,active_official_IDFG_managed_or_co_managed_access_site,not_identified,Pets must be on a leash at all times. Campfires not allowed. Access is limited to foot traffic only. Please pack out what you pack in.Day use only.,"https://www.google.com/maps/search/?api=1&query=43.4214294,-112.1025315",IDFG Fishing and Boating Access Sites Public,https://idfg.idaho.gov/visit/fish-boat-guide,225,,225,2026-07-26T02:39:14Z
