county_number,county,water_count,access_point_count,total_records
1,Ada,95,2,97
2,Adams,275,4,279
3,Bannock,171,6,177
4,Bear Lake,172,1,173
5,Benewah,130,2,132
6,Bingham,114,16,130
7,Blaine,433,9,442
8,Boise,603,3,606
9,Bonner,341,20,361
10,Bonneville,218,9,227
11,Boundary,264,0,264
12,Butte,151,1,152
13,Camas,203,3,206
14,Canyon,43,17,60
15,Caribou,220,9,229
16,Cassia,260,4,264
17,Clark,212,2,214
18,Clearwater,450,12,462
19,Custer,1175,27,1202
20,Elmore,585,4,589
21,Franklin,96,10,106
22,Fremont,180,24,204
23,Gem,92,6,98
24,Gooding,83,8,91
25,Idaho,1831,16,1847
26,Jefferson,35,9,44
27,Jerome,26,2,28
28,Kootenai,289,11,300
29,Latah,158,2,160
30,Lemhi,757,28,785
31,Lewis,25,4,29
32,Lincoln,73,2,75
33,Madison,53,7,60
34,Minidoka,38,2,40
35,Nez Perce,94,13,107
36,Oneida,131,6,137
37,Owyhee,591,8,599
38,Payette,36,7,43
39,Power,93,9,102
40,Shoshone,729,5,734
41,Teton,97,9,106
42,Twin Falls,149,4,153
43,Valley,931,7,938
44,Washington,158,6,164
