county_number,county
1,Beaverhead
2,Big Horn
3,Blaine
4,Broadwater
5,Carbon
6,Carter
7,Cascade
8,Chouteau
9,Custer
10,Daniels
11,Dawson
12,Deer Lodge
13,Fallon
14,Fergus
15,Flathead
16,Gallatin
17,Garfield
18,Glacier
19,Golden Valley
20,Granite
21,Hill
22,Jefferson
23,Judith Basin
24,Lake
25,Lewis and Clark
26,Liberty
27,Lincoln
28,Madison
29,McCone
30,Meagher
31,Mineral
32,Missoula
33,Musselshell
34,Park
35,Petroleum
36,Phillips
37,Pondera
38,Powder River
39,Powell
40,Prairie
41,Ravalli
42,Richland
43,Roosevelt
44,Rosebud
45,Sanders
46,Sheridan
47,Silver Bow
48,Stillwater
49,Sweet Grass
50,Teton
51,Toole
52,Treasure
53,Valley
54,Wheatland
55,Wibaux
56,Yellowstone
