county_number,county,public_water_count,waters_with_reports,waters_without_reports,public_access_point_count,county_report_count
1,Beaverhead,37,31,6,59,45
2,Big Horn,7,5,2,10,7
3,Blaine,10,10,0,10,19
4,Broadwater,13,13,0,16,16
5,Carbon,20,19,1,27,24
6,Carter,4,4,0,5,7
7,Cascade,16,16,0,26,22
8,Chouteau,7,7,0,8,10
9,Custer,7,7,0,7,17
10,Daniels,1,1,0,1,2
11,Dawson,5,5,0,5,7
12,Deer Lodge,6,6,0,10,10
13,Fallon,2,2,0,2,3
14,Fergus,13,13,0,17,21
15,Flathead,58,57,1,75,86
16,Gallatin,50,47,3,70,70
17,Garfield,2,2,0,2,2
18,Glacier,0,0,0,0,0
19,Golden Valley,0,0,0,0,0
20,Granite,23,23,0,34,39
21,Hill,6,6,0,7,10
22,Jefferson,11,11,0,12,12
23,Judith Basin,2,2,0,4,3
24,Lake,9,9,0,12,12
25,Lewis and Clark,36,32,4,53,44
26,Liberty,5,5,0,6,6
27,Lincoln,33,33,0,37,57
28,Madison,38,34,4,49,53
29,McCone,2,2,0,2,2
30,Meagher,11,10,1,14,15
31,Mineral,14,11,3,23,14
32,Missoula,37,34,3,57,45
33,Musselshell,0,0,0,0,0
34,Park,30,30,0,41,48
35,Petroleum,4,4,0,5,7
36,Phillips,33,32,1,36,57
37,Pondera,1,1,0,1,2
38,Powder River,4,3,1,4,4
39,Powell,20,20,0,24,32
40,Prairie,2,2,0,2,8
41,Ravalli,63,63,0,86,89
42,Richland,7,5,2,7,12
43,Roosevelt,1,0,1,1,0
44,Rosebud,5,5,0,7,8
45,Sanders,1,1,0,26,1
46,Sheridan,0,0,0,0,0
47,Silver Bow,7,7,0,7,8
48,Stillwater,17,17,0,21,28
49,Sweet Grass,10,10,0,10,15
50,Teton,10,10,0,14,17
51,Toole,2,2,0,5,2
52,Treasure,2,2,0,2,2
53,Valley,17,17,0,19,27
54,Wheatland,4,4,0,4,6
55,Wibaux,1,1,0,1,2
56,Yellowstone,14,14,0,15,23
