county_number,county,water_name,water_type,latitude,longitude,public_access_verified,access_point_count,access_point_name,manager,boat_ramp,dock,restroom,camping,ada_fishing,official_source_url,access_details
1,Beaverhead,Beaverhead River,river,45.08399640300044,-112.78332260623877,True,6,Corrals,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39753520,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
1,Beaverhead,Beaverhead River,river,45.08399640300044,-112.78332260623877,True,6,Henneberry,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39753418,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Gravel). Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
1,Beaverhead,Beaverhead River,river,45.08399640300044,-112.78332260623877,True,6,Pipe Organ,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39754491,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: Ramp (Concrete). Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
1,Beaverhead,Beaverhead River,river,45.08399640300044,-112.78332260623877,True,6,Beaverhead Campground,Bureau of Reclamation recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/46,Bureau of Reclamation recreation site
1,Beaverhead,Beaverhead River,river,45.08399640300044,-112.78332260623877,True,6,Beaverhead River Campground,Bureau of Reclamation recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/46,Bureau of Reclamation recreation site
1,Beaverhead,Beaverhead River,river,45.08399640300044,-112.78332260623877,True,6,Barretts,Bureau of Reclamation recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/46,Bureau of Reclamation recreation site
1,Beaverhead,Benson Pond,pond,45.20360642394741,-112.66831260566507,True,1,Trash Road Bridge,"City, county, or local developed access site",False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/48,"City, county, or local developed access site. Accesstype: Primitive Launch. Location: Trash Road. Owner: Beaverhead County"
1,Beaverhead,Blacktail Meadows Kids Pond,pond,45.2239964297005,-112.63914260338728,True,4,Selway Park,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/67814639,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: No"
1,Beaverhead,Blacktail Meadows Kids Pond,pond,45.2239964297005,-112.63914260338728,True,4,Cornell Park Fishing Access Site,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/89003401,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: No"
1,Beaverhead,Blacktail Meadows Kids Pond,pond,45.2239964297005,-112.63914260338728,True,4,Blacktail Meadows,"Montana Fish, Wildlife & Parks Fishing Access Site",True,False,False,False,False,https://myfwp.mt.gov/fishMT/fas/39754531,"Montana Fish, Wildlife & Parks Fishing Access Site. Boat Fac: No Boat Facilities. Camping: No. Hunt Access: Refer to current hunting regulations for hunting and weapons restrictions."
1,Beaverhead,Blacktail Meadows Kids Pond,pond,45.2239964297005,-112.63914260338728,True,4,Selway Bridge,"City, county, or local developed access site",False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/48,"City, county, or local developed access site. Accesstype: Primitive Launch. Location: Selway Bridge. Owner: MT DOT"
1,Beaverhead,Bryant Creek,creek,45.824912435971115,-113.14487882171538,True,1,BRYANT CREEK REC SITE,Bureau of Land Management recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/45,Bureau of Land Management recreation site. Descriptio: BRYANT CREEK REC SITE
1,Beaverhead,Charlies Lake,lake,44.57826644107609,-111.83812231875814,True,1,LAKEVIEW SKI CHALET RECREATION SITE,Bureau of Land Management recreation site,False,False,False,False,False,https://fwp-gis.mt.gov/arcgis/rest/services/fish/fishViewer/MapServer/45,Bureau of Land Management recreation site. Descriptio: LAKEVIEW SKI CHALET RECREATION SITE
