county_number,county,public_water_count,public_access_point_count
1,Beaverhead,37,59
2,Big Horn,7,10
3,Blaine,10,10
4,Broadwater,13,16
5,Carbon,20,27
6,Carter,4,5
7,Cascade,16,26
8,Chouteau,7,8
9,Custer,7,7
10,Daniels,1,1
11,Dawson,5,5
12,Deer Lodge,6,10
13,Fallon,2,2
14,Fergus,13,17
15,Flathead,58,75
16,Gallatin,50,70
17,Garfield,2,2
18,Glacier,0,0
19,Golden Valley,0,0
20,Granite,23,34
21,Hill,6,7
22,Jefferson,11,12
23,Judith Basin,2,4
24,Lake,9,12
25,Lewis and Clark,36,53
26,Liberty,5,6
27,Lincoln,33,37
28,Madison,38,49
29,McCone,2,2
30,Meagher,11,14
31,Mineral,14,23
32,Missoula,37,57
33,Musselshell,0,0
34,Park,30,41
35,Petroleum,4,5
36,Phillips,33,36
37,Pondera,1,1
38,Powder River,4,4
39,Powell,20,24
40,Prairie,2,2
41,Ravalli,63,86
42,Richland,7,7
43,Roosevelt,1,1
44,Rosebud,5,7
45,Sanders,1,26
46,Sheridan,0,0
47,Silver Bow,7,7
48,Stillwater,17,21
49,Sweet Grass,10,10
50,Teton,10,14
51,Toole,2,5
52,Treasure,2,2
53,Valley,17,19
54,Wheatland,4,4
55,Wibaux,1,1
56,Yellowstone,14,15
