report_id,report_date,freshness,age_days,county,water_name,source_type,source_name,official,title,summary,species,techniques,source_url
e3442eacdc7f482c96c9,2026-07-24,very_current,2,,Wildhorse Reservoir,official_fishing_report,Nevada Department of Wildlife,True,Wildhorse Reservoir — Fishing Report,"Due to low water levels that are expected to continue declining, State Park staff will be removing the dock at the boat ramp on 7/24/26. The dock will remain out of service unti... Read more",,,https://www.ndow.org/waters/wildhorse-reservoir/
2204ff5aacbb2791257d,2025-07-01,stale,390,,Lamoille Creek,official_fishing_report,Nevada Department of Wildlife,True,Lamoille Creek — Fishing Report,"Cutthroat were stocked on 7/1/25. Flows have lowered, but are holding and water temperatures have increased slightly, resulting in fair fishing. For flyfishers, royal stimulator... Read more",,,https://www.ndow.org/waters/lamoille-creek/
e4adf8330fe666c43221,2023-05-18,stale,1165,,Dorsey Reservoir,official_fishing_report,Nevada Department of Wildlife,True,Dorsey Reservoir — Fishing Report,"The reservoir was stocked on 5/18/23 with tiger trout averaging 9 inches. Fish should be biting on worms, PowerBait and small spinners. Dorsey Reservoir Angler Guide Info... Read more",,,https://www.ndow.org/waters/dorsey-reservoir/
37d50896aed509fdebdf,,date_unknown,,,Wilson Sink Reservoir,official_fishing_report,Nevada Department of Wildlife,True,Wilson Sink Reservoir — Fishing Report,"Water levels are up, measuring approximately 5 feet below full capacity. Water temps are in the low 50s and the boat ramp is in the water. Anglers are reporting trout catches ov... Read more",,,https://www.ndow.org/waters/wilson-sink-reservoir/
2880291bbf583f59eff1,,date_unknown,,,Wilson Common Pond,official_fishing_report,Nevada Department of Wildlife,True,Wilson Common Pond — Fishing Report,Fishing at Wilson Commons has been fair. Rainbow trout are caught primarily on bait off the bottom until vegetations takes over. Bait under a bobber is effective when fishing th... Read more,,,https://www.ndow.org/waters/wilson-common-pond/
0b32da40a4d9770150be,,date_unknown,,,Willow Creek Reservoir,official_fishing_report,Nevada Department of Wildlife,True,Willow Creek Reservoir — Fishing Report,Willow Creek Reservoir is extremely low with limited shoreline fishing available for anglers targeting crappie and catfish. Willow Creek Reservoir Angler Guide Information Read more,,,https://www.ndow.org/waters/willow-creek-reservoir/
00aec847ef48c11a40e3,,date_unknown,,,Willow Creek Pond,official_fishing_report,Nevada Department of Wildlife,True,Willow Creek Pond — Fishing Report,"Willow Creek Pond has good water level and anglers can still launch small boats, kayaks, float tubes, etc. Aquatic vegetation is dense around the shallows. Trout fishing will be... Read more",,,https://www.ndow.org/waters/willow-creek-pond/
1757eb05838cc5d75cc3,,date_unknown,,,Whites Creek,official_fishing_report,Nevada Department of Wildlife,True,Whites Creek — Fishing Report,Whites Creek Angler Guide Information Read more,,,https://www.ndow.org/waters/whites-creek/
25b521a2b3a130a4647b,,date_unknown,,Washoe,Washoe Lake,official_fishing_report,Nevada Department of Wildlife,True,Washoe Lake — Fishing Report,Fishing has been slow at Washoe and Little Washoe this summer. Fish populations continue to rebound after low water several years ago. Carp fishing in little Washoe has been goo... Read more,,,https://www.ndow.org/waters/washoe-lake/
58799465fc6d24926f06,,date_unknown,,,Wall Canyon Reservoir,official_fishing_report,Nevada Department of Wildlife,True,Wall Canyon Reservoir — Fishing Report,Fishing has been fair at Wall Canyon for trout and good for the bass. Fishing for both the cold and warm water species has been best early and late in the day. Crayfish imitatio... Read more,,,https://www.ndow.org/waters/wall-canyon-reservoir/
1935a1aadb75f7694ee9,,date_unknown,,,"Walker River, West Fork",official_fishing_report,Nevada Department of Wildlife,True,"Walker River, West Fork — Fishing Report",Walker River Angler Guide Information Read more,,,https://www.ndow.org/waters/walker-river-west-fork/
14a7a7f01fb49e4da45c,,date_unknown,,,"Walker River, West Fork",official_fishing_report,Nevada Department of Wildlife,True,"Walker River, West Fork — Fishing Report",Walker River Angler Guide Information Read more,,,https://www.ndow.org/waters/walker-river-west-fork-2/
49cf6c2d219042f54afd,,date_unknown,,,"Walker River, East Fork",official_fishing_report,Nevada Department of Wildlife,True,"Walker River, East Fork — Fishing Report",Flows are a little high at the moment but fishing has been great. Flows will likely bounce around in the next few weeks with calls for water downstream. Fly fisherman using larg... Read more,,,https://www.ndow.org/waters/walker-river-east-fork/
d2b7a565ff972a8b807e,,date_unknown,,,Walker River – Mineral,official_fishing_report,Nevada Department of Wildlife,True,Walker River – Mineral — Fishing Report,Walker River Angler Guide Information Read more,,,https://www.ndow.org/waters/walker-river-2/
886b7ec74ebd293455d3,,date_unknown,,,Walker River – Lyon,official_fishing_report,Nevada Department of Wildlife,True,Walker River – Lyon — Fishing Report,Walker River Angler Guide Information Read more,,,https://www.ndow.org/waters/walker-river/
f6055e9fbc87f03954cd,,date_unknown,,,Walker Lake,official_fishing_report,Nevada Department of Wildlife,True,Walker Lake — Fishing Report,An increase in the lake level and reduction in toxins is key to the fishery rebounding. Read more,,,https://www.ndow.org/waters/walker-lake/
401287e0a7e9a7dc4130,,date_unknown,,Washoe,Virginia Lake,official_fishing_report,Nevada Department of Wildlife,True,Virginia Lake — Fishing Report,"Virginia Lake is currently under a harmful algae bloom (HAB) warning, and some fish have been lost due to oxygen depletion. Virginia Lake Angler Guide Read more",,,https://www.ndow.org/waters/virginia-lake/
