county,water_name,access_point_name,official_source_url,verification_evidence
Napa,Napa River,Napa River public riverfront/park access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/Northeast,"CDFW identifies public fishing from the City of Napa downstream; use only designated public riverfront, park, pier, marina or boat access."
Napa,Lake Berryessa,Lake Berryessa public access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/Northeast,"CDFW identifies Lake Berryessa as open to the public; fees, inspections and site restrictions may apply."
Napa,Lake Hennessey,Lake Hennessey public access and launch,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/Northeast,CDFW identifies Lake Hennessey as open to the public with access and boat-launch fees and boating restrictions.
Solano,Sacramento-San Joaquin Delta,Grizzly and Joice Islands wildlife-area access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/Northeast,CDFW identifies good public access through the state-owned wildlife areas on Grizzly and Joice Islands; closures and restrictions must be checked.
Solano,Lake Chabot,Lake Chabot public fishing location,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/Northeast,CDFW lists Lake Chabot in its public fishing locations for Solano County.
Solano,Putah Creek / Lake Solano,Highway 128 public access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/Northeast,CDFW states public access is good along the section from Monticello Dam to Lake Solano where Highway 128 parallels the creek.
Marin,Walker Creek,Keys Creek / Highway 1 fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,"CDFW identifies public fishing access near the mouth at Keys Creek along Highway 1, subject to current seasons and special rules."
Marin,Alpine Lake,Alpine Lake shore access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW lists Alpine Lake as a Marin County fishing location; boats and wading are not permitted.
Marin,Bon Tempe Lake,Bon Tempe Lake shore access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW lists Bon Tempe Lake; a parking fee applies and boats and wading are not permitted.
Marin,Lagunitas Lake,Lagunitas Lake shore access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,"CDFW lists Lagunitas Lake with special gear, bait, bag and size rules; boats and wading are not permitted."
Marin,Nicasio Lake,Nicasio Lake roadside shore access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW identifies easy shore access from Petaluma–Point Reyes Road and Nicasio Valley Road; boats and wading are not permitted.
Marin,Phoenix Lake,Phoenix Lake trail access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW lists limited parking below Phoenix Lake and a hiking trail around the lake.
Marin,Soulajule Reservoir,Soulajule Reservoir dam parking access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW identifies a small no-fee parking lot at the base of the dam; boats and wading are not permitted.
Marin,Stafford Lake,Stafford Lake County Park access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW lists Stafford Lake at Stafford Lake County Park; parking fees apply and boats are not permitted.
Marin,San Pablo Bay,China Camp Pier,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW lists China Camp Pier as a Marin County public fishing location.
Marin,San Francisco Bay,East Fort Baker Pier,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW lists East Fort Baker Pier on the Marin side of the Golden Gate Bridge.
Marin,San Francisco Bay,Sausalito Pier,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW lists Sausalito Pier as a Marin County fishing location.
Sonoma,Russian River,Named public access communities,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,"CDFW identifies public access at Jenner, Monte Rio, Guerneville, Forestville, Healdsburg and Cloverdale; low-flow rules apply seasonally."
Sonoma,Gualala River,Gualala Point / mouth-area public access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW identifies public access near the mouth and at named road and park locations; low-flow rules apply seasonally.
Sonoma,Salmon Creek,Highway 1 tidewater access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW identifies a small tidewater area open west of Highway 1; low-flow and species restrictions apply.
Sonoma,Lake Ralphine,Howarth Park access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW lists Lake Ralphine in Howarth Park as a public fishing location.
Sonoma,Spring Lake,Spring Lake public fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW lists Spring Lake as a Sonoma County fishing location.
Sonoma,Lake Sonoma,Lake Sonoma dam and Yorty Creek launches,https://wildlife.ca.gov/Fishing-in-the-City/SF/Gofish/North,CDFW identifies a boat ramp near the dam and a car-topper launch at Yorty Creek; shore access is limited.
Sacramento,Granite Regional Park Pond,Granite Regional Park fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SAC,CDFW lists Granite Regional Park as a Fishing in the City location.
Sacramento,North Natomas Regional Park Pond,North Natomas Regional Park fishing access,https://wildlife.ca.gov/Fishing-in-the-City/SAC,CDFW lists North Natomas Regional Park as a Fishing in the City location.
