report_id,report_date,freshness,county,water_name,source_type,source_name,official,title,summary,species,techniques,source_url
or-report-771ce5d59f06,2026-09-14,scheduled,Klamath,Lake of the Woods,official_scheduled_stocking,Oregon Department of Fish and Wildlife,True,Lake of the Woods scheduled trout stocking,"ODFW scheduled 1,500 legal-size trout for the week beginning Sept. 14. Stocking schedules can change.",Rainbow trout,,https://myodfw.com/fishing/species/trout/stocking-schedule
or-report-cb2a8e82fbe7,2026-08-24,scheduled,Clackamas,Trillium Lake,official_scheduled_stocking,Oregon Department of Fish and Wildlife,True,Trillium Lake scheduled trout stocking,"ODFW scheduled 2,000 legal and 133 trophy-size trout for the week beginning Aug. 24. Stocking schedules can change.",Rainbow trout,,https://myodfw.com/fishing/species/trout/stocking-schedule
or-report-62f73a79fae5,2026-08-17,scheduled,Lake,Ana Reservoir,official_scheduled_stocking,Oregon Department of Fish and Wildlife,True,Ana Reservoir scheduled trout stocking,"ODFW scheduled 2,400 legal-size trout for the week beginning Aug. 17. Stocking schedules can change.",Rainbow trout,,https://myodfw.com/fishing/species/trout/stocking-schedule
or-report-9f1f3c630ded,2026-08-03,very_current,Wallowa,Wallowa Lake,official_scheduled_stocking,Oregon Department of Fish and Wildlife,True,Wallowa Lake scheduled trout stocking,ODFW scheduled 180 trophy-size rainbow trout for the week beginning Aug. 3. Stocking schedules can change.,Rainbow trout,,https://myodfw.com/fishing/species/trout/stocking-schedule
or-report-b1d21c24bbc2,2026-07-09,current,Baker,Phillips Reservoir,official_fishing_report,Oregon Department of Fish and Wildlife,True,Phillips Reservoir fishing update,"ODFW reported good perch fishing, including some large fish, in the Northeast Zone update.","Yellow perch, rainbow trout",,https://myodfw.com/recreation-report/fishing-report/northeast-zone
or-report-462e9a27c24e,2026-07-09,current,Grant,Magone Lake,official_fishing_report,Oregon Department of Fish and Wildlife,True,Magone Lake fishing update,ODFW reported that fishing is often good and that the lake had been stocked for 2026.,"Rainbow trout, brook trout",,https://myodfw.com/recreation-report/fishing-report/northeast-zone
or-report-401ca47737ee,2026-07-09,current,Umatilla,McKay Reservoir,official_fishing_report,Oregon Department of Fish and Wildlife,True,McKay Reservoir fishing update,ODFW reported good bass and panfish fishing and noted a current harmful-algae precaution.,"Bass, yellow perch, rainbow trout",,https://myodfw.com/recreation-report/fishing-report/northeast-zone
or-report-052e78670613,2026-07-09,current,Morrow,Willow Creek Reservoir,official_fishing_report,Oregon Department of Fish and Wildlife,True,Willow Creek Reservoir fishing update,"ODFW listed Willow Creek Reservoir as a current best bet for trout, bass and crappie.","Trout, bass, crappie",,https://myodfw.com/recreation-report/fishing-report/northeast-zone
or-report-c580312b1b07,2026-07-09,current,Deschutes,Crane Prairie Reservoir,official_fishing_report,Oregon Department of Fish and Wildlife,True,Crane Prairie Reservoir fishing update,"ODFW reported abundant rainbow trout, kokanee around 15 inches and generally good fishing.","Rainbow trout, kokanee",,https://myodfw.com/recreation-report/fishing-report/central-zone
or-report-8f47b59b419b,2026-07-09,current,Deschutes,Paulina Lake,official_fishing_report,Oregon Department of Fish and Wildlife,True,Paulina Lake fishing update,"ODFW reported good trout fishing and excellent kokanee fishing, with kokanee averaging roughly 13-14 inches.","Trout, kokanee",,https://myodfw.com/recreation-report/fishing-report/central-zone
or-report-b0a5d19be483,2026-07-09,current,Jackson,Lost Creek Reservoir,official_fishing_report,Oregon Department of Fish and Wildlife,True,Lost Creek Reservoir fishing update,ODFW listed trolling at Lost Creek as a current best bet and reported very good fishing.,"Rainbow trout, bass",,https://myodfw.com/recreation-report/fishing-report/southwest-zone
or-report-c689890df491,2026-07-06,current,Deschutes,East Lake,official_fishing_report,Oregon Department of Fish and Wildlife,True,East Lake trout stocking,"ODFW listed 2,500 legal-size trout for the stocking week beginning July 6.",Rainbow trout,,https://myodfw.com/fishing/species/trout/stocking-schedule
or-report-86c1946a664b,2026-07-06,current,Lane,Fern Ridge Reservoir,official_fishing_report,Oregon Department of Fish and Wildlife,True,Fern Ridge Reservoir fishing update,ODFW reported the reservoir open year-round with strong warmwater opportunities and multiple public bank and ramp locations.,"Largemouth bass, crappie, bluegill, brown bullhead",,https://myodfw.com/recreation-report/fishing-report/willamette-zone
or-report-5cd68c396e29,2026-07-06,current,Linn,Foster Reservoir,official_fishing_report,Oregon Department of Fish and Wildlife,True,Foster Reservoir fishing update,ODFW reported trout remaining from spring stocking and productive warmwater fishing near structure and drop-offs.,"Trout, bass, perch, catfish",,https://myodfw.com/recreation-report/fishing-report/willamette-zone
or-report-4a60f25172bd,2026-07-06,current,Marion,Walter Wirth Lake,official_fishing_report,Oregon Department of Fish and Wildlife,True,Walter Wirth Lake fishing update,ODFW reported that summer anglers can target bass and bluegill after the spring trout-stocking period.,"Trout, bass, panfish",,https://myodfw.com/recreation-report/fishing-report/willamette-zone
or-report-216693d77f42,2026-07-06,current,Lincoln,Siletz River,official_fishing_report,Oregon Department of Fish and Wildlife,True,Siletz River fishing update,"ODFW reported fair summer-steelhead fishing, low clear water and fish distributed through the system.","Summer steelhead, spring Chinook, cutthroat trout",,https://myodfw.com/recreation-report/fishing-report/northwest-zone
