county,water_name,access_point_name,official_source_url,verification_evidence
Baker,Unity Reservoir,Unity Lake State Recreation Site day-use ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported the state-park day-use ramp open, with low-water launch caution."
Baker,Phillips Reservoir,Mason Dam boat launch,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported Mason Dam boat launch and nearby campground ramps open.
Benton,EE Wilson Wildlife Area Pond,EE Wilson Wildlife Area Pond public angling access,https://myodfw.com/articles/disabled-angler-access-map,ODFW identifies the wildlife-area pond as a public trout and warmwater fishing location with disabled-angler access.
Clackamas,Trillium Lake,Trillium Lake Campground and day-use boating access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the campground and day-use boating access sites open.
Clackamas,Lake Harriet,Lake Harriet boat ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported the campground open and the boat ramp available year-round, weather permitting."
Clatsop,Coffenbury Lake,Fort Stevens State Park boating access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported Fort Stevens State Park boating access open.
Columbia,Trojan Pond,Trojan Pond paddle access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported paddle access open year-round, with picnic and restroom facilities available."
Columbia,Scappoose Bay,Scappoose Bay Marina boat ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the marina and boat ramp open; fishing is not allowed inside the marina itself.
Coos,Powers Pond,Powers Park kayak launch,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the public kayak launch open.
Coos,Eel Lake,Eel Lake public boating access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board includes Eel Lake among its current public boating-access locations.
Crook,Ochoco Reservoir,Ochoco Lake County Park boat launch,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the county-park launch open for small boats under low-water conditions.
Crook,Prineville Reservoir,Prineville State Park day-use ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the state-park ramp open with low-water advisories; other ramps vary by water level.
Curry,Winchuck River,Winchuck State Recreation Site,https://stateparks.oregon.gov/index.cfm?do=park.profile&parkId=57,Oregon State Parks identifies public parking and river/ocean-beach access for fishing and other recreation.
Curry,Chetco River,Alfred A. Loeb State Park river access,https://stateparks.oregon.gov/index.cfm?do=park.profile&parkId=51,Oregon State Parks identifies public river and gravel-bar fishing access at Loeb State Park.
Deschutes,Crane Prairie Reservoir,Crane Prairie Day Use and Rock Creek Day Use ramps,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported both day-use access locations open with seasonal docks installed.
Deschutes,Paulina Lake,Paulina Lake boating sites,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported Paulina Lake boating sites open with permanent or seasonal docking facilities.
Deschutes,East Lake,East Lake public boating sites,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported Cinder Hill, Hot Springs, resort and public boating access open, with some docks unavailable due to low water."
Douglas,Diamond Lake,Diamond Lake public boat launches,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported the campground and north, south and Thielsen View launches open."
Douglas,Lemolo Lake,Poole Creek and East Lemolo boating access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported Poole Creek ramp and East Lemolo campground boating access open.
Gilliam,Columbia River,Port of Arlington boat launch,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the Port of Arlington motorized and nonmotorized launches and tie-up dock open.
Grant,Magone Lake,Magone Lake Campground boating access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the campground and boating access open for small boats and paddlecraft.
Harney,Delintment Lake,Delintment Lake Campground boating access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported seasonal campground and boating access open.
Hood River,Kingsley Reservoir,Kingsley Day Use concrete ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the day-use site and concrete boat ramp open.
Jackson,Agate Lake,Agate Lake boat launch,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported the named public boat launch open, with low reservoir levels noted."
Jackson,Lost Creek Reservoir,Takelma boating access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported Takelma access and Joseph Stewart Resort/Marina available, with water-level cautions."
Jefferson,Lake Billy Chinook,Cove Palisades State Park ramps,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported state-park day-use ramps open, while some wildfire-area access can change."
Josephine,Lake Selmac,Lake Selmac public campgrounds and access sites,https://myodfw.com/articles/easy-angling-southwest-zone,ODFW identifies Selmac as Josephine County's largest standing waterbody and directs anglers to its public campgrounds and access areas.
Klamath,Agency Lake,Henzel Park and Petric Park boating access,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported both named public access sites open, with a health advisory noted for the location."
Klamath,Lake of the Woods,Aspen Point and Sunset Day Use launches,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported resort and public day-use launches open.
Lake,Ana Reservoir,Ana Reservoir boat ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported the ramp open and boarding docks floating.
Lane,Fern Ridge Reservoir,Orchard Point Marina boat ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported Orchard Point and other named public ramps open, with changing water depth."
Lane,Blue River Reservoir,Saddle Dam boat ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported Saddle Dam access open for launching or carry-down use depending on water level; Lookout launch was closed.
Lincoln,Yaquina Bay,Port of Newport boating sites,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported Port of Newport boating sites open and directs users to verify bar conditions.
Lincoln,Siletz River,Moonshine Boat Ramp and named river accesses,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,"The Marine Board reported multiple public paddle, slide and ramp sites open along the river."
Linn,Clear Lake,Cold Water Cove and Clear Lake Resort ramp,https://www.oregon.gov/osmb/boater-info/Pages/Opportunities-and-Access.aspx,The Marine Board reported both Cold Water Cove and the resort marina/boat ramp open.
Linn,Foster Reservoir,Foster Reservoir public ramps and bank access,https://myodfw.com/recreation-report/fishing-report/willamette-zone,ODFW reports multiple seasonal boat ramps and public bank-access areas around the reservoir.
