report_id,report_date,freshness,age_days,county,water_name,source_type,source_name,official,title,summary,species,techniques,source_url
d6a48767cb11bbb59e,2026-08-07,very_current,2,Cache,Logan River,official_stocking_update,Utah Division of Wildlife Resources,True,Logan River fish stocking — Rainbow,"Utah DWR stocked 1,248 rainbow averaging 11.7 inches at Logan River on 2026-08-07.",Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
9117d73d9f9a678d9d,2026-08-07,very_current,2,Rich,Garden City Heritage Com,official_stocking_update,Utah Division of Wildlife Resources,True,Garden City Heritage Com fish stocking — Rainbow,"Utah DWR stocked 1,000 rainbow averaging 11.7 inches at Garden City Heritage Com on 2026-08-07.",Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
41afc4ff3edb2d3ee3,2026-08-06,very_current,3,Sevier,Salina City Pond,official_stocking_update,Utah Division of Wildlife Resources,True,Salina City Pond fish stocking — Rainbow,Utah DWR stocked 235 rainbow averaging 10.16 inches at Salina City Pond on 2026-08-06.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
805832e3de04afbfae,2026-08-04,very_current,5,Daggett,Weyman Creek,official_stocking_update,Utah Division of Wildlife Resources,True,Weyman Creek fish stocking — Cutthroat,Utah DWR stocked 749 cutthroat averaging 3.54 inches at Weyman Creek on 2026-08-04.,Cutthroat,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
ab7bfb008db5ce53d5,2026-08-04,very_current,5,Sevier,Tidwell Reservoir,official_stocking_update,Utah Division of Wildlife Resources,True,Tidwell Reservoir fish stocking — Brook Trout,Utah DWR stocked 76 brook trout averaging 3.1 inches at Tidwell Reservoir on 2026-08-04.,Brook Trout,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
6fe1997dbdc833ed8a,2026-08-04,very_current,5,Utah,Tibble Fork Reservoir,official_stocking_update,Utah Division of Wildlife Resources,True,Tibble Fork Reservoir fish stocking — Rainbow,"Utah DWR stocked 1,001 rainbow averaging 11.93 inches at Tibble Fork Reservoir on 2026-08-04.",Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
784e075fc9807a2c28,2026-08-04,very_current,5,Daggett,"Sheep Creek, South Fork",official_stocking_update,Utah Division of Wildlife Resources,True,"Sheep Creek, South Fork fish stocking — Cutthroat","Utah DWR stocked 4,005 cutthroat averaging 3.54 inches at Sheep Creek, South Fork on 2026-08-04.",Cutthroat,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
8c9ba4d53416106c76,2026-08-04,very_current,5,Wayne,Round Lake Tlm,official_stocking_update,Utah Division of Wildlife Resources,True,Round Lake Tlm fish stocking — Brook Trout,Utah DWR stocked 185 brook trout averaging 3.1 inches at Round Lake Tlm on 2026-08-04.,Brook Trout,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
c74ab24e82b4e79f68,2026-08-04,very_current,5,Sevier,Morrell Pond Tlm,official_stocking_update,Utah Division of Wildlife Resources,True,Morrell Pond Tlm fish stocking — Tiger Trout,Utah DWR stocked 208 tiger trout averaging 3.07 inches at Morrell Pond Tlm on 2026-08-04.,Tiger Trout,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
125d5947068ce36e97,2026-08-04,very_current,5,Wasatch,Mill Hollow Reservoir,official_stocking_update,Utah Division of Wildlife Resources,True,Mill Hollow Reservoir fish stocking — Rainbow,Utah DWR stocked 500 rainbow averaging 12.53 inches at Mill Hollow Reservoir on 2026-08-04.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
ff7c1627bc59d03516,2026-08-04,very_current,5,Sevier,Meeks Lake Tlm,official_stocking_update,Utah Division of Wildlife Resources,True,Meeks Lake Tlm fish stocking — Brook Trout,Utah DWR stocked 185 brook trout averaging 3.1 inches at Meeks Lake Tlm on 2026-08-04.,Brook Trout,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
e41c52f48d0e165937,2026-08-04,very_current,5,Garfield,Grass Lake Sb,official_stocking_update,Utah Division of Wildlife Resources,True,Grass Lake Sb fish stocking — Brook Trout,Utah DWR stocked 76 brook trout averaging 3.1 inches at Grass Lake Sb on 2026-08-04.,Brook Trout,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
8e4a5f95c33dc99489,2026-08-04,very_current,5,Sevier,Floating Island Tlm,official_stocking_update,Utah Division of Wildlife Resources,True,Floating Island Tlm fish stocking — Tiger Trout,Utah DWR stocked 130 tiger trout averaging 3.07 inches at Floating Island Tlm on 2026-08-04.,Tiger Trout,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
da800510904aee377c,2026-08-04,very_current,5,Sevier,Floating Island Tlm,official_stocking_update,Utah Division of Wildlife Resources,True,Floating Island Tlm fish stocking — Splake,Utah DWR stocked 120 splake averaging 3.13 inches at Floating Island Tlm on 2026-08-04.,Splake,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
d0441331d020e60fe8,2026-08-04,very_current,5,Sevier,Fish Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Fish Lake fish stocking — Brook Trout,"Utah DWR stocked 6,000 brook trout averaging 3.14 inches at Fish Lake on 2026-08-04.",Brook Trout,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
f26fa009e0c6cd7ab9,2026-08-04,very_current,5,Sevier,Farrals Pond Tlm,official_stocking_update,Utah Division of Wildlife Resources,True,Farrals Pond Tlm fish stocking — Tiger Trout,Utah DWR stocked 43 tiger trout averaging 3.07 inches at Farrals Pond Tlm on 2026-08-04.,Tiger Trout,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
719615d11f602052af,2026-08-04,very_current,5,Daggett,Daggett Creek,official_stocking_update,Utah Division of Wildlife Resources,True,Daggett Creek fish stocking — Cutthroat,"Utah DWR stocked 1,202 cutthroat averaging 3.54 inches at Daggett Creek on 2026-08-04.",Cutthroat,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
95c2ebce9e2ab659c2,2026-08-03,very_current,6,Summit,Teapot Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Teapot Lake fish stocking — Rainbow,Utah DWR stocked 499 rainbow averaging 10.5 inches at Teapot Lake on 2026-08-03.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
639d0934ef24a488af,2026-08-03,very_current,6,Summit,Smith-Morehouse Reservoir,official_stocking_update,Utah Division of Wildlife Resources,True,Smith-Morehouse Reservoir fish stocking — Rainbow,Utah DWR stocked 899 rainbow averaging 10.5 inches at Smith-Morehouse Reservoir on 2026-08-03.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
67fdff22124e6e63b4,2026-08-03,very_current,6,Duchesne,Mirror Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Mirror Lake fish stocking — Rainbow,Utah DWR stocked 752 rainbow averaging 10.5 inches at Mirror Lake on 2026-08-03.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
d3413ed134156368bf,2026-08-03,very_current,6,Duchesne,Butterfly Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Butterfly Lake fish stocking — Rainbow,Utah DWR stocked 300 rainbow averaging 10.5 inches at Butterfly Lake on 2026-08-03.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
a17871753f00b89e0d,2026-08-03,very_current,6,Summit,Beaver Creek,official_stocking_update,Utah Division of Wildlife Resources,True,Beaver Creek fish stocking — Rainbow,Utah DWR stocked 99 rainbow averaging 10.5 inches at Beaver Creek on 2026-08-03.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
2c7246db734b76e88c,2026-08-03,very_current,6,Utah,"American Fork Creek, North Fork",official_stocking_update,Utah Division of Wildlife Resources,True,"American Fork Creek, North Fork fish stocking — Rainbow","Utah DWR stocked 350 rainbow averaging 11.93 inches at American Fork Creek, North Fork on 2026-08-03.",Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
ac2315590186823f59,2026-08-03,very_current,6,Utah,American Fork Creek,official_stocking_update,Utah Division of Wildlife Resources,True,American Fork Creek fish stocking — Rainbow,Utah DWR stocked 501 rainbow averaging 11.93 inches at American Fork Creek on 2026-08-03.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
432c190141929b596d,2026-07-29,very_current,11,Summit,Trial Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Trial Lake fish stocking — Rainbow,"Utah DWR stocked 1,501 rainbow averaging 10.98 inches at Trial Lake on 2026-07-29.",Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
f7de4724c225b2c855,2026-07-29,very_current,11,Duchesne,Pass Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Pass Lake fish stocking — Rainbow,Utah DWR stocked 299 rainbow averaging 10.98 inches at Pass Lake on 2026-07-29.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
25e1797ba4fc0a8a0b,2026-07-29,very_current,11,Duchesne,Moosehorn Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Moosehorn Lake fish stocking — Rainbow,Utah DWR stocked 301 rainbow averaging 10.98 inches at Moosehorn Lake on 2026-07-29.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
7fc5f932beb5463f7e,2026-07-29,very_current,11,Summit,Lilly Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Lilly Lake fish stocking — Rainbow,Utah DWR stocked 301 rainbow averaging 10.98 inches at Lilly Lake on 2026-07-29.,Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
6c73ed50109a8bc3b9,2026-07-29,very_current,11,Sevier,Fish Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Fish Lake fish stocking — Splake,"Utah DWR stocked 19,946 splake averaging 3.15 inches at Fish Lake on 2026-07-29.",Splake,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
59f9741008dec46ec1,2026-07-29,very_current,11,Sevier,Fish Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Fish Lake fish stocking — Rainbow,"Utah DWR stocked 20,673 rainbow averaging 3.12 inches at Fish Lake on 2026-07-29.",Rainbow,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
87cf20c1351b6b943e,2026-07-29,very_current,11,Sevier,Fish Lake,official_stocking_update,Utah Division of Wildlife Resources,True,Fish Lake fish stocking — Brook Trout,"Utah DWR stocked 12,608 brook trout averaging 3.1 inches at Fish Lake on 2026-07-29.",Brook Trout,Recent stocking information,https://dwrapps.utah.gov/fishstocking/Fish?y=2026
