access_area_name,county,official_wdfw_url
Ben Howard Hole,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/30543
Boulder River,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/30496
Blue Stilly,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/blue-stilly-655
Wagner Lake,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/wagner-lake-688
Connor Lake,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/30503
Hazel,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/hazel-651
Crescent Lake,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/crescent-lake-1591
Lake Armstrong,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/30490
Bosworth Lake,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/bosworth-lake-276
North Cove,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/north-cove-441
Sunday Lake,Snohomish,https://wdfw.wa.gov/places-to-go/water-access-sites/sunday-lake-661
Clear Lake,Spokane,https://wdfw.wa.gov/places-to-go/water-access-sites/clear-lake-311
Williams Lake,Spokane,https://wdfw.wa.gov/places-to-go/water-access-sites/williams-lake-727
West Medical Lake,Spokane,https://wdfw.wa.gov/places-to-go/water-access-sites/west-medical-lake-712
Silver Lake,Spokane,https://wdfw.wa.gov/places-to-go/water-access-sites/silver-lake-596
Liberty Lake,Spokane,https://wdfw.wa.gov/places-to-go/water-access-sites/liberty-lake-454
Amber Lake,Spokane,https://wdfw.wa.gov/places-to-go/water-access-sites/30552
Lake Kapowsin,Pierce,https://wdfw.wa.gov/places-to-go/water-access-sites/lake-kapowsin-437
Lake Whitman,Pierce,https://wdfw.wa.gov/places-to-go/water-access-sites/lake-whitman-717
Clear Lake,Pierce,https://wdfw.wa.gov/places-to-go/water-access-sites/clear-lake-309
Weiss,Pierce,https://wdfw.wa.gov/places-to-go/water-access-sites/weiss-220
Sumner Sportsmen's,Pierce,https://wdfw.wa.gov/places-to-go/water-access-sites/30441
Tanwax Lake,Pierce,https://wdfw.wa.gov/places-to-go/water-access-sites/tanwax-lake-666
Jackson Lake,Pierce,https://wdfw.wa.gov/places-to-go/water-access-sites/jackson-lake-416
